date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1e8.delayed	(from https://www.marrisawilsonny.com/shop-policy)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1e9.delayed	(from https://www.marrisawilsonny.com/shop-policy)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1ea.delayed	(from https://www.marrisawilsonny.com/faq)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1eb.delayed	(from https://www.marrisawilsonny.com/faq)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1ec.delayed	(from https://www.marrisawilsonny.com/contact)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1ed.delayed	(from https://www.marrisawilsonny.com/contact)
11:33:53	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1ee.delayed	(from https://www.marrisawilsonny.com/terms-of-use)
11:33:54	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1ef.delayed	(from https://www.marrisawilsonny.com/terms-of-use)
11:33:54	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1f0.delayed	(from https://www.marrisawilsonny.com/shop?category=FINAL+SALE)
11:33:54	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1f1.delayed	(from https://www.marrisawilsonny.com/shop?category=FINAL+SALE)
11:33:54	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1f2.delayed	(from https://www.marrisawilsonny.com/shop?category=NEW+ARRIVALS)
11:33:54	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1f3.delayed	(from https://www.marrisawilsonny.com/shop?category=NEW+ARRIVALS)
11:33:55	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1f4.delayed	(from https://www.marrisawilsonny.com/shop?category=SPRING%2FSUMMER+2023)
11:33:55	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1f5.delayed	(from https://www.marrisawilsonny.com/shop?category=SPRING%2FSUMMER+2023)
11:33:55	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Tue,%2023%20Jan%202024%2006:33:55%20GMT	http://static1.squarespace.com/static/569bffe6e0327c41cd9cd467/57c9f2f5414fb50bbd48cb4a/63a9e738c6eee1275ad112ce/1705953721203/MARRISA0A9A0903.jpg?format=1500w	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/static1.squarespace.com/static/569bffe6e0327c41cd9cd467/57c9f2f5414fb50bbd48cb4a/63a9e738c6eee1275ad112ce/1705953721203/MARRISA0A9A0903.1f626f7.delayed	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:33:55	227449/227449	---M--	200	added ('OK')	image/png	etag:COnswsCIn4MDEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/b87d0d7d-1ac5-4c5f-914a-df2b29c4b783/MW+Size+Chart.png	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/b87d0d7d-1ac5-4c5f-914a-df2b29c4b783/MW+Size+Chart.png	(from https://www.marrisawilsonny.com/size-chart)
11:33:56	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1f8.delayed	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:33:56	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1f9.delayed	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:33:58	112084/112084	---M--	200	added ('OK')	image/svg+xml	etag:%22d58aa359d9e3928678765bc5f9f442ae%22	https://www.marrisawilsonny.com/universal/svg/social-accounts.svg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/universal/svg/social-accounts.svg	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:33:58	527383/527383	---M--	200	added ('OK')	image/jpeg	etag:CL2Cn4SbhYADEAE=	https://images.squarespace-cdn.com/content/569bffe6e0327c41cd9cd467/1689028911686-4RD05Y8J57AJWM6J4PA2/MARRISA0A9A0903.jpg?format=1500w&content-type=image%2Fjpeg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/569bffe6e0327c41cd9cd467/1689028911686-4RD05Y8J57AJWM6J4PA2/MARRISA0A9A090343a3.jpg	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:34:00	86927/86927	---M--	200	added ('OK')	text/javascript	etag:%22a09e13ee94d51c524b7e2a728c7d4039%22	https://storage.googleapis.com/squarepaste/base-jquery.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/storage.googleapis.com/squarepaste/base-jquery.js	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:34:01	265453/265453	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2227bc7285305f92900171baa1ddb8db9a%22	https://www.marrisawilsonny.com/shop/%22https://www.instagram.com/reel/C2K5hjbu7vo/embed/%22></iframe>%22	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop/_https_/www.instagram.com/reel/C2K5hjbu7vo/embed/___/iframe__.1fc.delayed	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:34:02	265453/265453	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2227bc7285305f92900171baa1ddb8db9a%22	https://www.marrisawilsonny.com/shop/%22https://www.instagram.com/reel/C2AgWIuuLLC/embed/%22></iframe>%22	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop/_https_/www.instagram.com/reel/C2AgWIuuLLC/embed/___/iframe__.1fd.delayed	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
11:34:04	265453/265453	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2227bc7285305f92900171baa1ddb8db9a%22	https://www.marrisawilsonny.com/shop/%22https://www.instagram.com/reel/C15F8llu7-r/embed/%22></iframe>%22	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop/_https_/www.instagram.com/reel/C15F8llu7-r/embed/___/iframe__.1fe.delayed	(from https://www.marrisawilsonny.com/shop/simone-printed-smocked-maxi-dress-orange-zig-zag)
